"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that posts list is displayed and contains items after loading","19267","postsList_afterLoading_displaysItems","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","postsList_afterLoading_displaysItems"
"Verify app handles non-existent post gracefully (error scenario)","17392","errorScenario_invalidPostId_handledGracefully","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","errorScenario_invalidPostId_handledGracefully"
"Verify exit dialog can be shown multiple times","5746","exitDialog_showMultipleTimes_worksCorrectly","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","exitDialog_showMultipleTimes_worksCorrectly"
"Verify app handles rapid back button presses gracefully","6738","exitDialog_rapidBackPresses_handledGracefully","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","exitDialog_rapidBackPresses_handledGracefully"
"Verify navigation from posts list to post details screen","21708","navigation_clickOnPost_opensDetailsScreen","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","navigation_clickOnPost_opensDetailsScreen"
"Verify MainActivity launches and displays RecyclerView","2164","mainActivity_displaysRecyclerView","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.main.MainActivityTest","dev.shreyaspatil.foodium.ui.main.MainActivityTest","mainActivity_displaysRecyclerView"
"Verify that posts can be inserted and retrieved from database","54","insert_and_select_posts","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.data.local.dao.PostsDaoTest","dev.shreyaspatil.foodium.data.local.dao.PostsDaoTest","insert_and_select_posts"
"Verify exit confirmation dialog appears when pressing back on main screen","21813","exitDialog_pressBackOnMain_showsConfirmationDialog","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","exitDialog_pressBackOnMain_showsConfirmationDialog"
"Verify that a post can be retrieved by its ID","68","select_post_by_id","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.data.local.dao.PostsDaoTest","dev.shreyaspatil.foodium.data.local.dao.PostsDaoTest","select_post_by_id"
"Verify PostDetailsActivity displays all text fields (title, author, body)","9391","postDetailsActivity_displaysAllTextFields","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.details.PostDetailsActivityTest","dev.shreyaspatil.foodium.ui.details.PostDetailsActivityTest","postDetailsActivity_displaysAllTextFields"
"Verify network status UI elements exist in layout hierarchy","3410","mainActivity_networkStatusElements_exist","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.main.MainActivityTest","dev.shreyaspatil.foodium.ui.main.MainActivityTest","mainActivity_networkStatusElements_exist"
"Verify exit confirmation dialog is displayed when pressing back button","6934","exitDialog_onBackPressed_dialogIsDisplayed","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","exitDialog_onBackPressed_dialogIsDisplayed"
"Verify app handles home button press and resume correctly","30657","systemIntegration_homeButtonAndResume_appRestoresState","","2026-05-21","failed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","systemIntegration_homeButtonAndResume_appRestoresState"
"Verify PostDetailsActivity launches with valid postId and displays content","9883","postDetailsActivity_withValidPostId_displaysContent","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.details.PostDetailsActivityTest","dev.shreyaspatil.foodium.ui.details.PostDetailsActivityTest","postDetailsActivity_withValidPostId_displaysContent"
"Verify clicking No button dismisses dialog and returns to main screen","5131","exitDialog_clickNo_dialogDismissedAndStaysOnMain","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","dev.shreyaspatil.foodium.ui.dialog.ExitDialogTest","exitDialog_clickNo_dialogDismissedAndStaysOnMain"
"Verify RecyclerView contains posts after loading from network","4782","mainActivity_recyclerViewContainsPosts","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.main.MainActivityTest","dev.shreyaspatil.foodium.ui.main.MainActivityTest","mainActivity_recyclerViewContainsPosts"
"Verify back navigation from details screen returns to main screen","24271","navigation_pressBackFromDetails_returnsToMainScreen","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","navigation_pressBackFromDetails_returnsToMainScreen"
"Verify that Foodium app launches successfully from home screen","14901","appLaunch_fromHomeScreen_opensMainScreen","","2026-05-21","passed","2026-05-21","","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","dev.shreyaspatil.foodium.ui.blackbox.FoodiumBlackBoxTest","appLaunch_fromHomeScreen_opensMainScreen"
